ext_no	num_t	p_size	qm.dbh	sd	sp	lati.	long.	alti.	slope	azimuth	m.age	cv.age	maxh1	maxh2	sp.k
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	느티나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	졸참나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	쪽동백나무
49	77	0.04	0.186201503753326	1925	QAt	34.35	126.68	402	5	200	38	0.175548211370083	17.8	17	붉가시나무
49	77	0.04	0.186201503753326	1925	QAt	34.35	126.68	402	5	200	38	0.175548211370083	17.8	17	갈참나무
50	62	0.04	0.0185893656731216	1550	BP	37.71	128.43	862	2	260	10.8	0.178105407978438	4.1	4.3	자작나무
51	41	0.04	0.133341140523462	1025	BP	37.71	128.43	872	20	25	28.4	0.107379934380119	16.9	18	자작나무
51	41	0.04	0.133341140523462	1025	BP	37.71	128.43	872	20	25	28.4	0.107379934380119	16.9	18	쪽동백나무
51	41	0.04	0.133341140523462	1025	BP	37.71	128.43	872	20	25	28.4	0.107379934380119	16.9	18	거제수나무
51	41	0.04	0.133341140523462	1025	BP	37.71	128.43	872	20	25	28.4	0.107379934380119	16.9	18	신갈나무
51	41	0.04	0.133341140523462	1025	BP	37.71	128.43	872	20	25	28.4	0.107379934380119	16.9	18	산벚나무
51	41	0.04	0.133341140523462	1025	BP	37.71	128.43	872	20	25	28.4	0.107379934380119	16.9	18	말채나무
52	32	0.04	0.186549004955802	800	BP	37.7	128.43	914	7	230	32	0.163876382526586	20	20.1	자작나무
52	32	0.04	0.186549004955802	800	BP	37.7	128.43	914	7	230	32	0.163876382526586	20	20.1	말채나무
52	32	0.04	0.186549004955802	800	BP	37.7	128.43	914	7	230	32	0.163876382526586	20	20.1	피나무
52	32	0.04	0.186549004955802	800	BP	37.7	128.43	914	7	230	32	0.163876382526586	20	20.1	굴참나무
53	40	0.04	0.122346740863825	1000	LT	37.26	126.92	92	8	300	9.6	0.0931694990624912	11.9	10.9	백합나무
54	29	0.04	0.217486265915963	725	LT	37.25	126.97	72	3	20	12.4	0.0441711739923521	24.8	19.45	백합나무
55	40	0.04	0.226149010610261	1000	LT	34.55	126.86	117	5	0	31.6	0.0283046579430353	29.3	21.8	백합나무
55	40	0.04	0.226149010610261	1000	LT	34.55	126.86	117	5	0	31.6	0.0283046579430353	29.3	21.8	편백
56	23	0.04	0.259884452585475	575	LT	34.55	126.86	170	8	330	32.2	0.0510300519414751	26	25.1	백합나무
56	23	0.04	0.259884452585475	575	LT	34.55	126.86	170	8	330	32.2	0.0510300519414751	26	25.1	편백
57	50	0.04	0.127643331200655	1250	BP	37.58	128.1	372	30	105	22.8	0.0784585255263084	16.9	16.8	자작나무
58	47	0.04	0.137773789311598	1175	BP	37.58	128.1	374	20	60	23.6	0.110494956020384	19.5	16.7	자작나무
59	19	0.04	0.37257842692583	475	LT	34.55	126.86	137	3	320	30.6	0.017899429983829	27	26.6	편백
59	19	0.04	0.37257842692583	475	LT	34.55	126.86	137	3	320	30.6	0.017899429983829	27	26.6	백합나무
60	18	0.04	0.215307402979502	450	QS	34.75	128.03	200	15	270	39.2	0.033261236761238	16.6	16.9	졸참나무
60	18	0.04	0.215307402979502	450	QS	34.75	128.03	200	15	270	39.2	0.033261236761238	16.6	16.9	편백
61	21	0.04	0.252407455930929	525	PD	37.57	127.64	251	27.9	43	50.6	0.0649473388346047	18.6	19.55	중부지방소나무
62	32	0.04	0.197047345199066	800	QM	37.71	128.32	890	45	80	57	0.319904956645798	21	14.6	신갈나무
62	32	0.04	0.197047345199066	800	QM	37.71	128.32	890	45	80	57	0.319904956645798	21	14.6	산벚나무
63	41	0.04	0.177003582711433	1025	QM	37.71	128.32	890	45	80	77.4	0.264558348304502	13.7	11.9	신갈나무
64	36	0.04	0.192339471305872	900	QM	37.74	128.35	810	13.5	210	65.6	0.295708133332475	28.5	16.7	졸참나무
64	36	0.04	0.192339471305872	900	QM	37.74	128.35	810	13.5	210	65.6	0.295708133332475	28.5	16.7	신갈나무
64	36	0.04	0.192339471305872	900	QM	37.74	128.35	810	13.5	210	65.6	0.295708133332475	28.5	16.7	강원지방소나무
65	44	0.04	0.144113039596763	1100	QM	37.71	128.33	748	16.2	195	58.8	0.0949948302297207	24.4	16.2	신갈나무
65	44	0.04	0.144113039596763	1100	QM	37.71	128.33	748	16.2	195	58.8	0.0949948302297207	24.4	16.2	갈참나무
65	44	0.04	0.144113039596763	1100	QM	37.71	128.33	748	16.2	195	58.8	0.0949948302297207	24.4	16.2	졸참나무
66	35	0.04	0.192367950998675	875	QM	37.48	128.5	1049	13.5	10	66	0.339981904126013	14.3	12.9	신갈나무
67	60	0.04	0.179527620901817	1500	QM	37.47	128.53	1099	22.5	90	64.2	0.157081647794127	18	16.5	신갈나무
68	47	0.04	0.167362391870952	1175	QAc	35.03	127.61	139	9	45	43.6	0.205528135937797	27.8	19.8	굴참나무
68	47	0.04	0.167362391870952	1175	QAc	35.03	127.61	139	9	45	43.6	0.205528135937797	27.8	19.8	상수리나무
68	47	0.04	0.167362391870952	1175	QAc	35.03	127.61	139	9	45	43.6	0.205528135937797	27.8	19.8	잣나무
69	57	0.04	0.158466333797966	1425	QAc	37.31	127.28	332	27	90	31.2	0.129003921778834	14.1	13.7	상수리나무
69	57	0.04	0.158466333797966	1425	QAc	37.31	127.28	332	27	90	31.2	0.129003921778834	14.1	13.7	신갈나무
69	57	0.04	0.158466333797966	1425	QAc	37.31	127.28	332	27	90	31.2	0.129003921778834	14.1	13.7	잣나무
70	49	0.04	0.154911100246534	1225	QAc	37.31	127.28	400	18	352	47.2	0.250860340942639	20.1	18.1	상수리나무
70	49	0.04	0.154911100246534	1225	QAc	37.31	127.28	400	18	352	47.2	0.250860340942639	20.1	18.1	신갈나무
70	49	0.04	0.154911100246534	1225	QAc	37.31	127.28	400	18	352	47.2	0.250860340942639	20.1	18.1	산벚나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	갈참나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	상수리나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	중부지방소나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	잣나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	신갈나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	졸참나무
71	111	0.04	0.108343007191084	2775	QAc	37	126.39	54	18	42	22	0.0718699468220086	16.9	16.3	산벚나무
72	38	0.04	0.100343095637444	950	QM	37.46	128.48	778	12.6	190	23.2	0.0192764480818947	9.4	10.3	신갈나무
73	149	0.09	0.0988682941964482	1655.55555555556	QAc	37	126.4	62	12.2	35	23.2	0.140995062360311	19.9	16.4	갈참나무
73	149	0.09	0.0988682941964482	1655.55555555556	QAc	37	126.4	62	12.2	35	23.2	0.140995062360311	19.9	16.4	상수리나무
73	149	0.09	0.0988682941964482	1655.55555555556	QAc	37	126.4	62	12.2	35	23.2	0.140995062360311	19.9	16.4	중부지방소나무
73	149	0.09	0.0988682941964482	1655.55555555556	QAc	37	126.4	62	12.2	35	23.2	0.140995062360311	19.9	16.4	산벚나무
73	149	0.09	0.0988682941964482	1655.55555555556	QAc	37	126.4	62	12.2	35	23.2	0.140995062360311	19.9	16.4	신갈나무
74	7	0.01	0.0168183573174416	700	PK	37.79	127.86	330	42	53	7	0	2.5	2.2	잣나무
75	18	0.04	0.185982974131146	450	QS	35.92	127.68	624	45	270	29	0.219446932092377	11.3	9.6	졸참나무
75	18	0.04	0.185982974131146	450	QS	35.92	127.68	624	45	270	29	0.219446932092377	11.3	9.6	굴참나무
75	18	0.04	0.185982974131146	450	QS	35.92	127.68	624	45	270	29	0.219446932092377	11.3	9.6	산벚나무
75	18	0.04	0.185982974131146	450	QS	35.92	127.68	624	45	270	29	0.219446932092377	11.3	9.6	갈참나무
76	21	0.04	0.140169964855596	525	QS	35.86	127.13	76	10	45	17.2	0.126043508073714	18.3	6	졸참나무
76	21	0.04	0.140169964855596	525	QS	35.86	127.13	76	10	45	17.2	0.126043508073714	18.3	6	갈참나무
77	30	0.04	0.134080199880519	750	QS	35.8	127.3	32	30	320	23.8	0.163811669660655	14.2	12	졸참나무
77	30	0.04	0.134080199880519	750	QS	35.8	127.3	32	30	320	23.8	0.163811669660655	14.2	12	굴참나무
77	30	0.04	0.134080199880519	750	QS	35.8	127.3	32	30	320	23.8	0.163811669660655	14.2	12	신갈나무
77	30	0.04	0.134080199880519	750	QS	35.8	127.3	32	30	320	23.8	0.163811669660655	14.2	12	갈참나무
77	30	0.04	0.134080199880519	750	QS	35.8	127.3	32	30	320	23.8	0.163811669660655	14.2	12	산벚나무
78	18	0.04	0.206697175167495	450	QS	35.35	127.91	403	20	225	34.6	0.092756107143822	14.8	13.4	졸참나무
78	18	0.04	0.206697175167495	450	QS	35.35	127.91	403	20	225	34.6	0.092756107143822	14.8	13.4	중부지방소나무
78	18	0.04	0.206697175167495	450	QS	35.35	127.91	403	20	225	34.6	0.092756107143822	14.8	13.4	갈참나무
78	18	0.04	0.206697175167495	450	QS	35.35	127.91	403	20	225	34.6	0.092756107143822	14.8	13.4	굴참나무
79	18	0.04	0.169422712631912	450	QS	35.37	127.85	469	50	315	47.4	0.0693319693044514	12.2	12.6	졸참나무
79	18	0.04	0.169422712631912	450	QS	35.37	127.85	469	50	315	47.4	0.0693319693044514	12.2	12.6	신갈나무
79	18	0.04	0.169422712631912	450	QS	35.37	127.85	469	50	315	47.4	0.0693319693044514	12.2	12.6	굴참나무
80	21	0.04	0.199509040253461	525	QS	34.78	128	293	30	315	32.6	0.174334628691814	10.4	10	졸참나무
80	21	0.04	0.199509040253461	525	QS	34.78	128	293	30	315	32.6	0.174334628691814	10.4	10	중부지방소나무
80	21	0.04	0.199509040253461	525	QS	34.78	128	293	30	315	32.6	0.174334628691814	10.4	10	편백
81	37	0.04	0.196966796488441	925	QM	36.59	127.88	540	15	280	47	0.111575409379803	17.9	17.9	신갈나무
82	47	0.04	0.29540930854404	1175	CJ	33.34	126.65	475	4	262	36.8	0.0121525433559771	21.1	18.6	삼나무
83	27	0.04	0.40847353602116	675	CJ	33.36	126.64	515	0	195	69	0	26.7	24.6	삼나무
84	39	0.04	0.331417661971517	975	CJ	33.33	126.65	410	28	156	46.6	0.0117537029507546	24	23.1	삼나무
85	108	0.04	0.13691102815197	2700	CJ	33.33	126.71	10	0	185	18	0	11.4	9.6	삼나무
86	11	0.04	0.338972243433267	275	LL	37.51	127.69	178	23	330	48.6	0.0184038516666649	28.5	29.9	낙엽송
87	31	0.04	0.232742208213016	775	LL	37.78	127.83	525	10	8	34.4	0.0159221673693362	23.1	22.59	낙엽송
88	20	0.04	0.252059516781255	500	LL	37.79	127.83	601	18	8	32.6	0.0274364169018379	24.2	23.3	낙엽송
89	37	0.04	0.2015559743863	925	LL	37.7	128.07	366	25	10	30.8	0.0145199219318168	27.9	26	낙엽송
90	60	0.04	0.042441135705822	1500	LL	37.7	128.07	337	37	330	11.5	0.106499554034051	6.5	6.15	낙엽송
91	26	0.04	0.177891280540412	650	LL	37.51	127.69	190	30	3	29.8	0.0150071676342268	20.6	20.3	낙엽송
92	63	0.04	0.138240129243767	1575	PTl	37.8	127.89	361	31	283	35.6	0.344373315871391	29	27.5	현사시나무
93	62	0.04	0.137195880686773	1550	PTl	37.8	127.89	358	47	277	30.6	0.294661805983003	28.1	24.1	현사시나무
94	60	0.04	0.143819157277464	1500	PTl	37.8	127.89	357	28	258	34.4	0.236700034718864	27.6	25.8	현사시나무
95	53	0.04	0.156621162935426	1325	QV	34.95	127.02	425	25	180	44.4	0.100218898474266	24.2	19.8	굴참나무
96	76	0.04	0.125084182179758	1900	QM	34.94	127.04	430	45	45	35.8	0.0823903977863275	14.2	10.7	신갈나무
97	18	0.01	0.177263144004111	1800	LL	35.53	127.05	300	25	315	40	0.0176776695296637	19.6	17.7	낙엽송
98	36	0.04	0.248774775427271	900	LL	35.38	126.74	488	20	135	42.8	0.111318964949267	21.9	21.4	낙엽송
99	18	0.01	0.193362066830309	1800	QM	35.51	127.09	620	30	270	42	0.120232201647168	18.1	14.7	신갈나무
100	28	0.04	0.20497386592999	700	QV	35.51	127.08	510	10	90	47.4	0.0485690482414402	14.4	14.5	굴참나무
101	23	0.04	0.251959537814412	575	CO	34.79	128.04	250	20	200	87.6	0.0153155340924643	16.3	15.95	편백
102	36	0.04	0.199868012003478	900	QV	35.44	126.76	434	35	135	45	0.14229164972073	16.5	15.7	굴참나무
103	48	0.04	0.250415529670186	1200	CO	34.69	126.95	275	13	120	42.4	0.01291798484682	20.6	18.96	편백
104	56	0.04	0.204839527784208	1400	CO	35.16	128.45	333	12	120	35.2	0.0311205998582481	17.4	17.76	편백
105	27	0.04	0.192352685334922	675	CO	34.69	127.02	420	10	60	35	0.0404061017820884	17.7	15.98	편백
106	61	0.04	0.134020551396871	1525	CO	34.97	127.3	440	5	200	26	0.0271964146610211	12	12.57	편백
107	15	0.04	0.147829180700789	375	CO	34.91	127.28	190	5	0	18.2	0.0716395868703588	6.4	6.95	편백
108	49	0.04	0.160756692817793	1225	QM	36.02	128.16	390	43	350	40	0.140312152004023	13	13.54	신갈나무
109	23	0.04	0.265788408815865	575	CJ	34.96	127.31	385	15	270	39	0.155968270007647	23.9	22.2	삼나무
110	52	0.04	0.153315913168755	1300	CJ	35.16	128.1	64	25	130	27.6	0.0486101734239085	18.7	16.6	삼나무
111	74	0.04	0.188019550449817	1850	CJ	34.7	126.96	152	15	300	45.4	0.132708108646626	18.7	18.1	삼나무
112	50	0.04	0.113912246927185	1250	CJ	34.34	126.59	67	15	300	17.6	0.0508197267613589	12.6	9.6	삼나무
113	60	0.04	0.137099051783738	1500	QM	36.45	127.95	590	12	270	42.8	0.0255945120329517	16.5	15.72	신갈나무
114	29	0.04	0.113139066090639	725	PD	35.11	126.56	120	23	270	38.8	0.184417977525756	8.9	10.3	중부지방소나무
115	20	0.01	0.100479351112554	2000	PD	35.15	126.57	130	25	135	19.4	0.0282331215208849	8	8.5	중부지방소나무
116	29	0.04	0.24045581714735	725	PD	35.29	126.6	150	7	270	52.2	0.0596644118865802	19.1	18.5	중부지방소나무
117	39	0.04	0.14892236834966	975	QM	36.72	128.92	468	42	80	34.4	0.0669236304257055	12.3	13.3	신갈나무
